0 415  -0.0331628 -570.824   -1205 2.60276
500 6066  -0.00285573 -5649.96   -120550 13.6812
1000 7412  -0.00285573 -5238.6   -173048 6.19637
1500 7710  -0.00285573 -4375.34   -185952 4.98808
2000 7794  -0.00244273 -3858.35   -189626 4.67367
2500 7822  -0.00244273 -3578.03   -190750 4.58175
3000 7833  -0.00244273 -3429.32   -191081 4.55851
3500 7837  -0.00244273 -3341.38   -191207 4.53869
4000 7839  -0.000669335 -3293.7   -191261 4.52854
4500 7844  -0.000669335 -3261.58   -191408 4.52874
5000 7847  -0.000669335 -3239.53   -191485 4.52184
