0 59  -1.81509 -230.164   193.85 0.474069
200 3282  -0.193429 -8135.15   1375.35 0.050383
400 5983  -0.193429 -14323.2   2057.32 0.0339239
600 8466  -0.193429 -19828.5   2606.98 0.027149
800 10900  -0.0832671 -25253.7   3109.15 0.0229124
1000 13170  -0.0832671 -30216.3   3532.95 0.0198901
1200 15440  -0.0832671 -35165   3948.93 0.0177257
1400 17579  -0.0832671 -39765.7   4318.25 0.0163047
1600 19793  -0.0832671 -44618.5   4697.88 0.0148294
1800 21990  -0.0832671 -49402.3   5051.98 0.0136135
2000 24154  -0.0832671 -54069.9   5392.55 0.0126789
