0 186  -22931.7 -5.93711e+06   18039.3 160.578
500 2249  -14324.8 -6.05031e+07   79613.1 6.46474
1000 2493  -13605.8 -6.48404e+07   84869.8 5.68803
1500 2636  -12811.2 -6.752e+07   87909.5 5.34261
2000 2728  -12811.2 -6.91779e+07   89860.7 5.2061
2500 2801  -12811.2 -7.04371e+07   91293.2 4.9242
3000 2853  -12811.2 -7.129e+07   92329 4.80172
3500 2896  -12811.2 -7.19183e+07   93211.8 4.8644
4000 2941  -12811.2 -7.2759e+07   94138.7 4.80852
4500 2977  -12811.2 -7.33578e+07   94910.6 4.74874
5000 3003  -11647.5 -7.38223e+07   95392.5 4.79871
