0 165  -0.780046 -144.49   78.6186 0.00955981
500 796  0.999941 -535.02   259.77 0.00433546
1000 976  0.999941 -631.553   307.249 0.0035404
1500 1083  0.999941 -674.47   334.852 0.00328879
2000 1161  0.999941 -702.141   355.493 0.00304428
2500 1229  0.999941 -728.52   373.098 0.00283828
3000 1280  0.999941 -730.995   386.213 0.00274385
3500 1325  0.999941 -745.166   397.165 0.00263924
4000 1364  0.999941 -744.777   407.945 0.00258799
4500 1405  0.999941 -759.42   418.436 0.00250843
5000 1438  0.999941 -766.998   427.592 0.00248875
5500 1479  0.999941 -782.035   438.284 0.00240406
6000 1509  0.999941 -788.116   446.417 0.00233629
6500 1548  0.999409 -804.424   455.877 0.0022709
7000 1575  0.999409 -809.263   463.347 0.00223577
7500 1603  0.998592 -816.003   470.786 0.00220684
8000 1630  0.999117 -816.775   477.387 0.0021734
8500 1647  0.999117 -815.429   481.671 0.00216055
9000 1671  0.999117 -820.383   488.145 0.0021444
9500 1700  0.999117 -829.899   494.869 0.00212928
10000 1723  0.999117 -838.987   500.057 0.00210069
